,cluster,pop_variation,dispo_proteines_total,dispo_proteines_animale,dispo_kcal_total
0,1,0.0458754872978142,64.30060606060606,22.567575757575757,2511.5454545454545
1,2,0.11302928254706136,56.07,12.457307692307692,2277.5
2,3,0.1256585917073856,72.62875000000001,22.600625,2732.3125
3,4,0.01487537088077667,110.08647058823529,65.5435294117647,3449.5
4,5,0.03450094261484661,88.17166666666667,42.9335,3024.5666666666666
